iter	Passed	Remaining
340	1297	2506
341	1300	2501
342	1303	2496
343	1306	2491
344	1309	2485
345	1312	2480
346	1315	2476
347	1318	2471
348	1321	2464
349	1324	2458
350	1327	2454
351	1329	2447
352	1333	2443
353	1336	2438
354	1339	2433
355	1342	2428
356	1345	2423
357	1348	2418
358	1352	2414
359	1354	2407
360	1357	2402
361	1360	2397
362	1361	2389
363	1364	2384
364	1368	2380
365	1370	2374
366	1373	2369
367	1377	2365
368	1381	2361
369	1383	2356
370	1387	2351
371	1388	2343
372	1391	2338
373	1394	2334
374	1397	2329
375	1401	2325
376	1402	2317
377	1405	2312
378	1409	2310
379	1412	2305
380	1414	2297
381	1418	2294
382	1421	2290
383	1425	2286
384	1428	2282
385	1431	2277
386	1434	2272
387	1437	2267
388	1440	2263
389	1443	2258
390	1447	2254
391	1450	2249
392	1453	2245
393	1457	2241
394	1459	2236
395	1461	2228
396	1464	2223
397	1466	2218
398	1469	2214
399	1472	2209
400	1474	2202
401	1475	2195
402	1477	2188
403	1480	2183
404	1483	2179
405	1486	2175
406	1489	2170
407	1492	2165
408	1495	2160
409	1496	2153
410	1499	2149
411	1502	2144
412	1505	2140
413	1508	2135
414	1511	2131
415	1515	2127
416	1521	2127
417	1526	2124
418	1530	2122
419	1534	2118
420	1539	2117
421	1542	2113
422	1547	2110
423	1550	2106
424	1554	2102
425	1557	2098
426	1563	2097
427	1565	2092
428	1568	2088
429	1571	2083
430	1575	2079
431	1577	2074
432	1580	2070
433	1582	2063
434	1585	2059
435	1589	2055
436	1591	2051
437	1595	2046
438	1598	2042
439	1601	2037
440	1604	2034
441	1610	2033
442	1615	2030
443	1619	2027
444	1623	2025
445	1626	2020
446	1630	2016
447	1633	2013
448	1637	2009
449	1640	2004
450	1641	1998
451	1644	1993
452	1648	1990
453	1651	1985
454	1654	1981
455	1657	1977
456	1660	1973
457	1664	1969
458	1667	1964
459	1670	1961
460	1673	1957
461	1677	1953
462	1680	1948
463	1683	1944
464	1686	1940
465	1689	1936
466	1693	1932
467	1696	1928
468	1699	1924
469	1703	1920
470	1706	1916
471	1709	1912
472	1712	1908
473	1715	1904
474	1719	1900
475	1722	1895
476	1725	1892
477	1728	1888
478	1731	1883
479	1735	1880
480	1738	1876
481	1742	1872
482	1745	1868
483	1748	1864
484	1751	1860
485	1754	1856
486	1758	1852
487	1761	1848
488	1765	1844
489	1769	1841
490	1772	1837
491	1775	1832
492	1778	1828
493	1781	1824
494	1784	1820
495	1788	1817
496	1791	1813
497	1794	1809
498	1797	1804
499	1801	1801
500	1804	1797
501	1807	1793
502	1810	1789
503	1813	1785
504	1817	1781
505	1820	1777
506	1823	1773
507	1826	1769
508	1829	1765
509	1833	1761
510	1836	1757
511	1840	1753
512	1843	1749
513	1847	1746
514	1850	1742
515	1853	1738
516	1856	1734
517	1861	1732
518	1865	1729
519	1879	1735
520	1887	1734
521	1898	1738
522	1901	1734
523	1914	1739
524	1918	1735
525	1921	1731
526	1928	1730
527	1937	1731
528	1946	1733
529	1955	1734
530	1961	1732
531	1968	1731
532	1979	1734
533	1987	1734
534	1997	1736
535	2006	1736
536	2009	1732
537	2018	1733
538	2021	1729
539	2034	1732
540	2042	1732
541	2050	1733
542	2061	1734
543	2064	1730
544	2073	1731
545	2081	1730
546	2085	1727
547	2100	1732
548	2115	1737
549	2123	1737
550	2136	1741
551	2142	1738
552	2145	1734
553	2152	1732
554	2157	1729
555	2160	1725
556	2165	1722
557	2170	1719
558	2174	1715
559	2178	1711
560	2182	1708
561	2187	1704
562	2190	1700
563	2196	1697
564	2199	1693
565	2204	1690
566	2208	1686
567	2212	1682
568	2216	1679
569	2219	1674
570	2225	1671
571	2230	1669
572	2235	1665
573	2238	1661
574	2243	1658
575	2246	1653
576	2251	1650
577	2257	1648
578	2266	1648
579	2275	1647
580	2282	1646
581	2296	1649
582	2313	1654
583	2325	1656
584	2336	1657
585	2349	1660
586	2359	1660
587	2371	1661
588	2388	1666
589	2397	1666
590	2406	1665
591	2414	1664
592	2423	1663
593	2432	1662
594	2440	1661
595	2447	1659
596	2456	1657
597	2465	1657
598	2474	1656
599	2481	1654
600	2491	1654
601	2503	1654
602	2508	1651
603	2515	1649
604	2522	1646
605	2532	1646
606	2536	1642
607	2539	1637
608	2542	1632
609	2545	1627
610	2548	1622
611	2552	1618
612	2555	1613
613	2558	1608
614	2562	1603
615	2565	1599
616	2568	1594
617	2571	1589
618	2575	1585
619	2578	1580
620	2581	1575
621	2584	1570
622	2588	1566
623	2594	1563
624	2602	1561
625	2607	1557
626	2611	1553
627	2614	1548
628	2617	1544
629	2620	1539
630	2624	1534
631	2627	1529
632	2630	1525
633	2633	1520
634	2636	1515
635	2639	1510
636	2642	1505
637	2645	1501
638	2649	1496
639	2652	1491
640	2655	1487
641	2658	1482
642	2661	1477
643	2664	1473
644	2668	1468
645	2671	1463
646	2674	1459
647	2677	1454
648	2681	1450
649	2684	1445
650	2687	1440
651	2691	1436
652	2694	1431
653	2697	1426
654	2700	1422
655	2703	1417
656	2707	1413
657	2710	1408
658	2714	1404
659	2717	1399
660	2720	1395
661	2723	1390
662	2726	1385
663	2729	1381
664	2733	1377
665	2736	1372
666	2739	1367
667	2742	1363
668	2746	1358
669	2749	1354
670	2752	1349
671	2755	1345
672	2759	1340
673	2762	1336
674	2765	1331
675	2768	1326
676	2772	1322
677	2775	1318
678	2779	1313
679	2782	1309
680	2785	1304
681	2788	1300
682	2791	1295
683	2794	1291
684	2798	1286
685	2801	1282
686	2804	1277
687	2808	1273
688	2811	1268
689	2814	1264
690	2817	1259
691	2820	1255
692	2824	1251
693	2827	1246
694	2830	1242
695	2833	1237
696	2837	1233
697	2840	1228
698	2843	1224
699	2846	1219
700	2850	1215
701	2853	1211
702	2856	1206
703	2859	1202
704	2862	1197
705	2865	1193
706	2869	1189
707	2872	1184
708	2875	1180
709	2880	1176
710	2883	1171
711	2886	1167
712	2889	1163
713	2892	1158
714	2896	1154
715	2899	1150
716	2902	1145
717	2905	1141
718	2909	1137
719	2912	1132
720	2915	1128
721	2918	1123
722	2921	1119
723	2924	1114
724	2927	1110
725	2932	1106
726	2935	1102
727	2938	1097
728	2941	1093
729	2944	1089
730	2947	1084
731	2951	1080
732	2954	1076
733	2957	1071
734	2961	1067
735	2964	1063
736	2967	1059
737	2971	1054
738	2974	1050
739	2977	1046
740	2980	1041
741	2983	1037
742	2986	1032
743	2989	1028
744	2992	1024
745	2996	1020
746	2999	1015
747	3002	1011
748	3005	1007
749	3008	1002
750	3011	998
751	3014	994
752	3017	989
753	3020	985
754	3023	981
755	3026	976
756	3029	972
757	3033	968
758	3036	964
759	3039	959
760	3042	955
761	3046	951
762	3049	947
763	3053	943
764	3056	938
765	3059	934
766	3062	930
767	3066	926
768	3069	922
769	3072	917
770	3075	913
771	3079	909
772	3082	905
773	3086	901
774	3089	896
775	3092	892
776	3095	888
777	3099	884
778	3102	880
779	3105	875
780	3108	871
781	3112	867
782	3115	863
783	3118	859
784	3121	854
785	3125	850
786	3129	846
787	3132	842
788	3135	838
789	3139	834
790	3142	830
791	3145	826
792	3148	821
793	3151	817
794	3155	813
795	3158	809
796	3161	805
797	3164	801
798	3168	796
799	3171	792
800	3174	788
801	3177	784
802	3180	780
803	3183	776
804	3186	771
805	3189	767
806	3193	763
807	3196	759
808	3200	755
809	3203	751
810	3206	747
811	3209	743
812	3212	738
813	3215	734
814	3218	730
815	3222	726
816	3226	722
817	3229	718
818	3232	714
819	3235	710
820	3239	706
821	3242	702
822	3245	697
823	3248	693
824	3252	689
825	3255	685
826	3258	681
827	3261	677
828	3264	673
829	3267	669
830	3271	665
831	3274	661
832	3277	657
833	3280	652
834	3283	648
835	3289	645
836	3298	642
837	3304	638
838	3310	635
839	3315	631
840	3319	627
841	3322	623
842	3325	619
843	3328	615
844	3332	611
845	3335	607
846	3338	603
847	3341	599
848	3345	594
849	3348	590
850	3351	586
851	3354	582
852	3357	578
853	3361	574
854	3364	570
855	3367	566
856	3370	562
857	3373	558
858	3376	554
859	3379	550
860	3382	546
861	3385	542
862	3390	538
863	3393	534
864	3398	530
865	3411	527
866	3427	525
867	3430	521
868	3434	517
869	3439	513
870	3444	510
871	3447	506
872	3453	502
873	3457	498
874	3461	494
875	3469	491
876	3473	487
877	3476	483
878	3481	479
879	3491	476
880	3499	472
881	3508	469
882	3516	465
883	3525	462
884	3528	458
885	3532	454
886	3535	450
887	3549	447
888	3552	443
889	3564	440
890	3569	436
891	3578	433
892	3584	429
893	3590	425
894	3597	422
895	3604	418
896	3610	414
897	3615	410
898	3618	406
899	3626	402
900	3629	398
901	3637	395
902	3640	391
903	3645	387
904	3649	383
905	3652	379
906	3661	375
907	3664	371
908	3673	367
909	3676	363
910	3684	359
911	3687	355
912	3698	352
913	3706	348
914	3714	345
915	3720	341
916	3730	337
917	3740	334
918	3749	330
919	3758	326
920	3767	323
921	3774	319
922	3781	315
923	3784	311
924	3787	307
925	3795	303
926	3800	299
927	3809	295
928	3813	291
929	3819	287
930	3822	283
931	3825	279
932	3828	274
933	3833	270
934	3836	266
935	3839	262
936	3842	258
937	3845	254
938	3848	250
939	3851	245
940	3855	241
941	3858	237
942	3862	233
943	3865	229
944	3868	225
945	3872	221
946	3875	216
947	3878	212
948	3882	208
949	3885	204
950	3888	200
951	3891	196
952	3895	192
953	3898	188
954	3901	183
955	3905	179
956	3908	175
957	3911	171
958	3914	167
959	3918	163
960	3921	159
961	3924	155
962	3927	150
963	3930	146
964	3934	142
965	3937	138
966	3940	134
967	3943	130
968	3947	126
969	3950	122
970	3953	118
971	3956	113
972	3960	109
973	3963	105
974	3966	101
975	3969	97
976	3972	93
977	3976	89
978	3979	85
979	3983	81
980	3986	77
981	3989	73
982	3992	69
983	3995	64
984	3998	60
985	4001	56
986	4005	52
987	4009	48
988	4012	44
989	4015	40
990	4018	36
991	4022	32
992	4025	28
993	4028	24
994	4032	20
995	4035	16
996	4039	12
997	4042	8
998	4045	4
999	4048	0
